Drug_name,Clinical_use,Dose_in_normal_renal_function,Pharmacokinetics,Metabolism,Dose_in_renal_impairment_GFR_mL_min,Dose_in_patients_undergoing_renal_replacement_therapies,Important_drug_interactions,Administration,Other_information,ml_params_for_AI
Abacavir,Nucleoside reverse transcriptase inhibitor: • Used for HIV infection in combination with other antiretroviral drugs,600 mg daily in 1 or 2 divided doses,Molecular weight (daltons) 286.3 (670.7 as sulphate) % Protein binding 49 % Excreted unchanged in urine 2 Volume of distribution (L/kg) 0.8 Half-life — normal/ESRF (hrs) 1.5 / Unchanged,"Abacavir is primarily metabolised by the liver with approximately 2% of the administered dose being renally excreted, as unchanged compound. The primary pathways of metabolism in man are by alcohol dehydrogenase and by glucuronidation to produce the 5'-carboxylic acid and 5'-glucuronide which account for about 66% of the administered dose. The metabolites are excreted in the urine.",20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function.,APD/CAPD Unknown dialysability. Dose as in normal renal function. HD Unlikely to be dialysed. Dose as in normal renal function. HDF/High flux Not dialysed. Dose as in normal renal function. CAV/VVHD Unknown dialysability. Dose as in normal renal function.,Potentially hazardous interactions with other drugs • Antivirals: possibly reduces effects of ribavirin; concentration reduced by tipranavir. • Orlistat: absorption possibly reduced by orlistat.,Reconstitution — Route Oral Rate of administration —,,"{""indications"":""Nucleoside reverse transcriptase inhibitor: • Used for HIV infection in combination with other antiretroviral drugs"",""normal_renal_dose"":""600 mg daily in 1 or 2 divided doses"",""renal_impairment_dose_rules"":""20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function."",""renal_replacement_therapy_rules"":""APD/CAPD Unknown dialysability. Dose as in normal renal function. HD Unlikely to be dialysed. Dose as in normal renal function. HDF/High flux Not dialysed. Dose as in normal renal function. CAV/VVHD Unknown dialysability. Dose as in normal renal function."",""renal_pharmacokinetic_features"":{""molecular_weight"":""286.3 (670.7 as sulphate)"",""protein_binding"":""49"",""urinary_excretion_unchanged"":""2"",""volume_distribution"":""0.8"",""half_life"":""1.5 / Unchanged""},""metabolism_summary"":""Abacavir is primarily metabolised by the liver with approximately 2% of the administered dose being renally excreted, as unchanged compound. The primary pathways of metabolism in man are by alcohol dehydrogenase and by glucuronidation to produce the 5'-carboxylic acid and 5'-glucuronide which account for about 66% of the administered dose. The metabolites are excreted in the urine."",""interaction_summary"":""Potentially hazardous interactions with other drugs • Antivirals: possibly reduces effects of ribavirin; concentration reduced by tipranavir. • Orlistat: absorption possibly reduced by orlistat."",""administration_route"":""Oral"",""other_renal_information"":"""",""decision_tree_flags"":[""dialysis_relevant"",""important_interactions_present""]}"
Abatacept,Treatment of moderate to severe rheumatoid arthritis and psoriatic arthritis in people who have not responded adequately to other treatment,"IV: • Loading doses: <60 kg: 500 mg, 60–100 kg: 750 mg, >100 kg: 1000 mg repeated 2 and 4 weeks after initial infusion • Then 125 mg weekly (SC) Psoriatic arthritis: • 125 mg weekly (SC)",Molecular weight (daltons) 92 000 % Protein binding No data % Excreted unchanged in urine No data Volume of distribution (L/kg) 0.07 Half-life — normal/ESRF (hrs) 13.1 days / –,Abatacept is cleared via Fc-mediated phagocytosis.,20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. Use with caution. <10 Dose as in normal renal function. Use with caution.,APD/CAPD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HDF/High flux Unlikely to be dialysed. Dose as in GFR<10 mL/min. CAV/VVHD Unlikely to be dialysed. Dose as in GFR=10–20 mL/min.,"Potentially hazardous interactions with other drugs • Avoid with certolizumab, etanercept, golimumab and infliximab. • Vaccines: avoid concomitant use with live vaccines.","Reconstitution With 10 mL of water for injection per vial Route IV infusion, SC Rate of administration Over 30 minutes Comments • DO NOT SHAKE when reconstituting. • Add dose to 100 mL of sodium chloride 0.9%.","• Stable for 24 hours at 2–8°C if made under aseptic conditions. • Administer with an infusion set with a low protein binding filter (pore size 0.2–1.2 μm). • Manufacturer does not have any information on its use in renal impairment. Main side effects are infections and malignancies, to which renal patients may be at increased risk, therefore use with caution.","{""indications"":""Treatment of moderate to severe rheumatoid arthritis and psoriatic arthritis in people who have not responded adequately to other treatment"",""normal_renal_dose"":""IV: • Loading doses: <60 kg: 500 mg, 60–100 kg: 750 mg, >100 kg: 1000 mg repeated 2 and 4 weeks after initial infusion • Then 125 mg weekly (SC) Psoriatic arthritis: • 125 mg weekly (SC)"",""renal_impairment_dose_rules"":""20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. Use with caution. <10 Dose as in normal renal function. Use with caution."",""renal_replacement_therapy_rules"":""APD/CAPD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HDF/High flux Unlikely to be dialysed. Dose as in GFR<10 mL/min. CAV/VVHD Unlikely to be dialysed. Dose as in GFR=10–20 mL/min."",""renal_pharmacokinetic_features"":{""molecular_weight"":""92 000"",""protein_binding"":""No data"",""urinary_excretion_unchanged"":""No data"",""volume_distribution"":""0.07"",""half_life"":""13.1 days / –""},""metabolism_summary"":""Abatacept is cleared via Fc-mediated phagocytosis."",""interaction_summary"":""Potentially hazardous interactions with other drugs • Avoid with certolizumab, etanercept, golimumab and infliximab. • Vaccines: avoid concomitant use with live vaccines."",""administration_route"":""IV infusion, SC"",""other_renal_information"":""• Stable for 24 hours at 2–8°C if made under aseptic conditions. • Administer with an infusion set with a low protein binding filter (pore size 0.2–1.2 μm). • Manufacturer does not have any information on its use in renal impairment. Main side effects are infections and malignancies, to which renal patients may be at increased risk, therefore use with caution."",""decision_tree_flags"":[""renal_dose_adjustment_or_restriction"",""dialysis_relevant"",""important_interactions_present"",""renal_caution_or_restriction""]}"
Abciximab,Antiplatelet agent: • Prevention of ischaemic cardiac complications in patients undergoing percutaneous coronary intervention • Short-term prevention of myocardial infarction in patients with unstable angina not responding to treatment or awaiting percutaneous coronary intervention.,IV bolus: 250 mcg/kg then by infusion at 0.125 mcg/ kg/minute for 12 hours after intervention (maximum 10 mcg/minute).,Molecular weight (daltons) 47 455.4 % Protein binding Binds to platelets. % Excreted unchanged in urine Minimal (catabolised like other proteins) Volume of distribution (L/kg) 0.1181 Half-life — normal/ESRF (hrs) <10 m inutes / Unchanged,is via proteolytic cleavage,20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function. Use with caution. See ‘,APD/CAPD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HDF/High flux Unlikely to be dialysed. Dose as in GFR<10 mL/min. CAV/VVHD Unlikely to be dialysed. Dose as in normal renal function.,"Potentially hazardous interactions with other drugs • Heparin, anticoagulants, antiplatelets and thrombolytics: increased risk of bleeding.","Reconstitution — Route IV bolus, IV infusion Rate of administration Bolus: 1 minute; Infusion: 0.125 mcg/kg/minute (maximum 10 mcg/minute) Comments Dilute in sodium chloride 0.9% or glucose 5%. Give via a non-pyrogenic low-protein-binding 0.2, 0.22 or 5 micron filter.","• Increased risk of bleeding in CKD 5, benefits of abciximab treatment may be reduced. • In the UK the licence says use with caution in severe renal disease due to increased risk of bleeding and benefits may be reduced. It also advises to avoid in haemodialysis patients due to increased risk of bleeding (as on heparin for dialysis) but it is used in normal doses in the USA. • Antibodies to abciximab develop 2–4 weeks post dose in 5.8% of patients so monitor for hypersensitivity reactions if re-administered. • Abciximab remains in the body for at least 15 days, bound to platelets. • Once infusion is stopped, the concentration of abciximab falls rapidly for 6 hours then decreases at a slower rate. Reference: 1. Mager DE, Mascelli MA, Kleiman NS, et al. Simultaneous modelling of abciximab plasma concentrations and ex vivo pharmacodynamics in patients undergoing coronary angioplasty. J Pharmacol Exp Ther. 2003; 307(3): 969–76.","{""indications"":""Antiplatelet agent: • Prevention of ischaemic cardiac complications in patients undergoing percutaneous coronary intervention • Short-term prevention of myocardial infarction in patients with unstable angina not responding to treatment or awaiting percutaneous coronary intervention."",""normal_renal_dose"":""IV bolus: 250 mcg/kg then by infusion at 0.125 mcg/ kg/minute for 12 hours after intervention (maximum 10 mcg/minute)."",""renal_impairment_dose_rules"":""20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function. Use with caution. See ‘"",""renal_replacement_therapy_rules"":""APD/CAPD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HD Unlikely to be dialysed. Dose as in GFR<10 mL/min. HDF/High flux Unlikely to be dialysed. Dose as in GFR<10 mL/min. CAV/VVHD Unlikely to be dialysed. Dose as in normal renal function."",""renal_pharmacokinetic_features"":{""molecular_weight"":""47 455.4"",""protein_binding"":""Binds to platelets."",""urinary_excretion_unchanged"":""Minimal (catabolised like other proteins)"",""volume_distribution"":""0.1181"",""half_life"":""<10 m inutes / Unchanged""},""metabolism_summary"":""is via proteolytic cleavage"",""interaction_summary"":""Potentially hazardous interactions with other drugs • Heparin, anticoagulants, antiplatelets and thrombolytics: increased risk of bleeding."",""administration_route"":""IV bolus, IV infusion"",""other_renal_information"":""• Increased risk of bleeding in CKD 5, benefits of abciximab treatment may be reduced. • In the UK the licence says use with caution in severe renal disease due to increased risk of bleeding and benefits may be reduced. It also advises to avoid in haemodialysis patients due to increased risk of bleeding (as on heparin for dialysis) but it is used in normal doses in the USA. • Antibodies to abciximab develop 2–4 weeks post dose in 5.8% of patients so monitor for hypersensitivity reactions if re-administered. • Abciximab remains in the body for at least 15 days, bound to platelets. • Once infusion is stopped, the concentration of abciximab falls rapidly for 6 hours then decreases at a slower rate. Reference: 1. Mager DE, Mascelli MA, Kleiman NS, et al. Simultaneous modelling of abciximab plasma concentrations and ex vivo pharmacodynamics in patients undergoing coronary angioplasty. J Pharmacol Exp Ther. 2003; 307(3): 969–76."",""decision_tree_flags"":[""renal_dose_adjustment_or_restriction"",""dialysis_relevant"",""important_interactions_present"",""renal_caution_or_restriction"",""monitoring_required""]}"
Abiraterone acetate,Hormone antagonist: • Treatment of metastatic prostate cancer,1000 mg daily,Molecular weight (daltons) 391.6 % Protein binding 99.8 % Excreted unchanged in urine 5 Volume of distribution (L/kg) 5630 Litres Half-life — normal/ESRF (hrs) 15 / Unchanged,"Abiraterone acetate is hydrolysed to abiraterone, which then undergoes metabolism including sulphation, hydroxylation and oxidation mainly in the liver to form inactive metabolites. About 88% of a dose is excreted in the faeces, of which about 55% is unchanged abiraterone acetate and about 22% is abiraterone; about 5% of a dose is excreted in the urine.",20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function.,APD/CAPD Unlikely to be dialysed. Dose as in normal renal function. HD Not dialysed. Dose as in normal renal function. HDF/High flux Not dialysed. Dose as in normal renal function. CAV/VVHD Unlikely to be dialysed. Dose as in normal renal function.,"Potentially hazardous interactions with other drugs • Antibacterials: concentration possibly reduced by rifabutin and rifampicin – avoid. • Antidepressants: concentration possibly reduced by St John’s wort – avoid. • Antiepileptics: concentration possibly reduced by carbamazepine, fosphenytoin, phenobarbital, phenytoin and primidone – avoid.",Reconstitution — Route Oral Rate of administration — Comments Should be taken on an empty stomach.,• The manufacturer suggests using normal doses in renal patients although no formal studies have been done so use with caution.,"{""indications"":""Hormone antagonist: • Treatment of metastatic prostate cancer"",""normal_renal_dose"":""1000 mg daily"",""renal_impairment_dose_rules"":""20–50 Dose as in normal renal function. 10–20 Dose as in normal renal function. <10 Dose as in normal renal function."",""renal_replacement_therapy_rules"":""APD/CAPD Unlikely to be dialysed. Dose as in normal renal function. HD Not dialysed. Dose as in normal renal function. HDF/High flux Not dialysed. Dose as in normal renal function. CAV/VVHD Unlikely to be dialysed. Dose as in normal renal function."",""renal_pharmacokinetic_features"":{""molecular_weight"":""391.6"",""protein_binding"":""99.8"",""urinary_excretion_unchanged"":""5"",""volume_distribution"":""5630 Litres"",""half_life"":""15 / Unchanged""},""metabolism_summary"":""Abiraterone acetate is hydrolysed to abiraterone, which then undergoes metabolism including sulphation, hydroxylation and oxidation mainly in the liver to form inactive metabolites. About 88% of a dose is excreted in the faeces, of which about 55% is unchanged abiraterone acetate and about 22% is abiraterone; about 5% of a dose is excreted in the urine."",""interaction_summary"":""Potentially hazardous interactions with other drugs • Antibacterials: concentration possibly reduced by rifabutin and rifampicin – avoid. • Antidepressants: concentration possibly reduced by St John’s wort – avoid. • Antiepileptics: concentration possibly reduced by carbamazepine, fosphenytoin, phenobarbital, phenytoin and primidone – avoid."",""administration_route"":""Oral"",""other_renal_information"":""• The manufacturer suggests using normal doses in renal patients although no formal studies have been done so use with caution."",""decision_tree_flags"":[""dialysis_relevant"",""important_interactions_present"",""renal_caution_or_restriction""]}"
Acamprosate calcium,Maintenance of abstinence in alcohol dependence,"• >60 kg: 666 mg 3 times a day • <60 kg: 666 mg at breakfast, 333 mg at midday and 333 mg at night",Molecular weight (daltons) 400.5 % Protein binding 0 % Excreted unchanged in urine Majority Volume of distribution (L/kg) Approximately 1 Half-life — normal/ESRF (hrs) 33 / 85.8,Acamprosate is excreted in the urine and is not metabolised significantly.,30–50 333 mg 3 times daily. 10–30 333 mg twice daily. See ',APD/CAPD Dialysed. Dose as in GFR<10 mL/ min. HD Dialysed. Dose as in GFR<10 mL/ min. HDF/High flux Dialysed. Dose as in GFR<10 mL/ min. CAV/VVHD Dialysed. Dose as in GFR=10–30 mL/min.,Potentially hazardous interactions with other drugs • None known,Reconstitution — Route Oral Rate of administration —,"• Recommended treatment period is a year. • In USA manufacturer advises to avoid if GFR<30 mL/min, in the UK it is contraindicated if creatinine >120 micromol/L. • Doses estimated from evaluation of pharmacokinetic data, use with caution in moderate to severe renal impairment. • After a single dose of 666 mg in patients with severe renal impairment, the average maximum concentration was 4 times that in healthy individuals. • Bioavailability is reduced if administered with food.","{""indications"":""Maintenance of abstinence in alcohol dependence"",""normal_renal_dose"":""• >60 kg: 666 mg 3 times a day • <60 kg: 666 mg at breakfast, 333 mg at midday and 333 mg at night"",""renal_impairment_dose_rules"":""30–50 333 mg 3 times daily. 10–30 333 mg twice daily. See '"",""renal_replacement_therapy_rules"":""APD/CAPD Dialysed. Dose as in GFR<10 mL/ min. HD Dialysed. Dose as in GFR<10 mL/ min. HDF/High flux Dialysed. Dose as in GFR<10 mL/ min. CAV/VVHD Dialysed. Dose as in GFR=10–30 mL/min."",""renal_pharmacokinetic_features"":{""molecular_weight"":""400.5"",""protein_binding"":""0"",""urinary_excretion_unchanged"":""Majority"",""volume_distribution"":""Approximately 1"",""half_life"":""33 / 85.8""},""metabolism_summary"":""Acamprosate is excreted in the urine and is not metabolised significantly."",""interaction_summary"":""Potentially hazardous interactions with other drugs • None known"",""administration_route"":""Oral"",""other_renal_information"":""• Recommended treatment period is a year. • In USA manufacturer advises to avoid if GFR<30 mL/min, in the UK it is contraindicated if creatinine >120 micromol/L. • Doses estimated from evaluation of pharmacokinetic data, use with caution in moderate to severe renal impairment. • After a single dose of 666 mg in patients with severe renal impairment, the average maximum concentration was 4 times that in healthy individuals. • Bioavailability is reduced if administered with food."",""decision_tree_flags"":[""renal_dose_adjustment_or_restriction"",""dialysis_relevant"",""renal_caution_or_restriction""]}"
Acarbose,Antidiabetic agent,50–200 mg 3 times a day,Molecular weight (daltons) 645.6 % Protein binding 15 % Excreted unchanged in urine 1.7 (35% including inactive metabolites) Volume of distribution (L/kg) 0.32 Half-life — normal/ESRF (hrs) 3–9 / Increased,"Oral bioavailability is 1–2%. After oral administration of the 14C-labelled substance, on average, 35% of the total radioactivity was excreted by the kidneys within 96 hours. The proportion of drug excreted in the urine was 1.7% of the administered dose. 50% of the activity was eliminated within 96 hours in the faeces.",25–50 Dose as in normal renal function. 10–25 Avoid. <10 Avoid.,APD/CAPD Unknown dialysability. Avoid. HD Unknown dialysability. Avoid. See ',Potentially hazardous interactions with other drugs • Antibacterials: hypoglycaemic effect possibly enhanced and increased gastrointestinal side effects with neomycin. • Lipid lowering agents: hypoglycaemic effect possibly enhanced by colestyramine.,Reconstitution — Route Oral Rate of administration —,"• Only 1–2% of active drug is absorbed. • In renal impairment, peak concentrations are 5 times higher than in the general population and the AUC is 6 times higher. • Manufacturer advises to avoid if GFR<25 mL/min due to lack of studies. • One paper records the use of acarbose in a haemodialysis patient who had undergone a total gastrectomy to treat oxyhyperglycaemia: using a dose of 100 mg before meals. (T eno S, NakajimaUto Y, Nagai K, et al. Treatment with α-glucosidase inhibitor for severe reactive hypoglycemia. A case report. Endocr J. 2000; 47(4): 437–42.","{""indications"":""Antidiabetic agent"",""normal_renal_dose"":""50–200 mg 3 times a day"",""renal_impairment_dose_rules"":""25–50 Dose as in normal renal function. 10–25 Avoid. <10 Avoid."",""renal_replacement_therapy_rules"":""APD/CAPD Unknown dialysability. Avoid. HD Unknown dialysability. Avoid. See '"",""renal_pharmacokinetic_features"":{""molecular_weight"":""645.6"",""protein_binding"":""15"",""urinary_excretion_unchanged"":""1.7 (35% including inactive metabolites)"",""volume_distribution"":""0.32"",""half_life"":""3–9 / Increased""},""metabolism_summary"":""Oral bioavailability is 1–2%. After oral administration of the 14C-labelled substance, on average, 35% of the total radioactivity was excreted by the kidneys within 96 hours. The proportion of drug excreted in the urine was 1.7% of the administered dose. 50% of the activity was eliminated within 96 hours in the faeces."",""interaction_summary"":""Potentially hazardous interactions with other drugs • Antibacterials: hypoglycaemic effect possibly enhanced and increased gastrointestinal side effects with neomycin. • Lipid lowering agents: hypoglycaemic effect possibly enhanced by colestyramine."",""administration_route"":""Oral"",""other_renal_information"":""• Only 1–2% of active drug is absorbed. • In renal impairment, peak concentrations are 5 times higher than in the general population and the AUC is 6 times higher. • Manufacturer advises to avoid if GFR<25 mL/min due to lack of studies. • One paper records the use of acarbose in a haemodialysis patient who had undergone a total gastrectomy to treat oxyhyperglycaemia: using a dose of 100 mg before meals. (T eno S, NakajimaUto Y, Nagai K, et al. Treatment with α-glucosidase inhibitor for severe reactive hypoglycemia. A case report. Endocr J. 2000; 47(4): 437–42."",""decision_tree_flags"":[""renal_dose_adjustment_or_restriction"",""dialysis_relevant"",""important_interactions_present"",""renal_caution_or_restriction""]}"
Acebutolol,Beta-adrenoceptor blocker: • Hypertension • Angina • Arrhythmias,"• Hypertension: 400 mg once a day or 200 mg twice a day, increased after 2 weeks to 400 mg twice daily if necessary • Angina: 400 mg once a day, or 200 mg twice daily initially. Increase up to 300 mg 3 times daily; maximum 1200 mg • Arrhythmias: 400–1200 mg/day (in 2–3 divided doses)",Molecular weight (daltons) 336.4 (372.9 as hydrochloride) % Protein binding 26 % Excreted unchanged in urine 55 Volume of distribution (L/kg) 1.2 Half-life — normal/ESRF (hrs) 3–4 (8–13 for active metabolite) / Increased (32 for active metabolite),"After oral administration, there is rapid formation of a major equiactive metabolite, diacetolol, which possesses a similar pharmacological profile to acebutolol. Peak plasma concentrations of active material (i.e. acebutolol plus diacetolol) are achieved within 2–4 hours and the terminal plasma elimination half-life is around 8–10 hours. Because of biliary excretion and direct transfer across the gut wall from the systemic circulation to the gut lumen, more than 50% of an oral dose of acebutolol is recovered in the faeces with acebutolol and diacetolol in equal proportions; the rest of the dose is recovered in the urine, mainly as diacetolol.","25–50 50% of normal dose, but frequency should not exceed once daily. 10–25 50% of normal dose, but frequency should not exceed once daily. <10 25–50% of normal dose, but frequency should not exceed once daily.",APD/CAPD Unknown dialysability. Dose as in GFR<10 mL/min. HD Dialysed. Dose as in GFR<10 mL/ min. HDF/High flux Dialysed. Dose as in GFR<10 mL/ min. CAV/VVHD Dialysed. Dose as in GFR=10–25 mL/min.,"Potentially hazardous interactions with other drugs • Anaesthetics: enhanced hypotensive effect. • Analgesics: NSAIDs antagonise hypotensive effect. • Anti-arrhythmics: increased risk of myocardial depression and bradycardia; increased risk of bradycardia, myocardial depression and A V block with amiodarone; increased risk of myocardial depression and bradycardia with flecainide. • Antidepressants: enhanced hypotensive effect with MAOIs. • Antihypertensives: enhanced hypotensive effect; increased risk of withdrawal hypertension with clonidine; increased risk of first dose hypotensive effect with post-synaptic alpha-blockers such as prazosin. • Antimalarials: increased risk of bradycardia with mefloquine. • Antipsychotics enhanced hypotensive effect with phenothiazines. • Calcium-channel blockers: increased risk of bradycardia and A V block with diltiazem; hypotension and heart failure possible with nifedipine and nisoldipine; asystole, severe hypotension and heart failure with verapamil. • Cytotoxics: possible increased risk of bradycardia with crizotinib. • Diuretics: enhanced hypotensive effect. • Fingolimod: possibly increased risk of bradycardia. A 8 Acebutolol • Moxisylyte: possible severe postural hypotension. • Sympathomimetics: severe hypertension with adrenaline and noradrenaline and possibly with dobutamine.","of high doses in severe renal failure cautioned due to accumulation. • Doses from Sani M. Clinical pharmacology in the ICU. (1994); Section 1: p 64 and Drug Prescribing in Renal Failure, 5th edition by Aronoff et al. • Dose frequency should not exceed once daily in renal impairment. • Has an active metabolite – diacetolol.",•,"{""indications"":""Beta-adrenoceptor blocker: • Hypertension • Angina • Arrhythmias"",""normal_renal_dose"":""• Hypertension: 400 mg once a day or 200 mg twice a day, increased after 2 weeks to 400 mg twice daily if necessary • Angina: 400 mg once a day, or 200 mg twice daily initially. Increase up to 300 mg 3 times daily; maximum 1200 mg • Arrhythmias: 400–1200 mg/day (in 2–3 divided doses)"",""renal_impairment_dose_rules"":""25–50 50% of normal dose, but frequency should not exceed once daily. 10–25 50% of normal dose, but frequency should not exceed once daily. <10 25–50% of normal dose, but frequency should not exceed once daily."",""renal_replacement_therapy_rules"":""APD/CAPD Unknown dialysability. Dose as in GFR<10 mL/min. HD Dialysed. Dose as in GFR<10 mL/ min. HDF/High flux Dialysed. Dose as in GFR<10 mL/ min. CAV/VVHD Dialysed. Dose as in GFR=10–25 mL/min."",""renal_pharmacokinetic_features"":{""molecular_weight"":""336.4 (372.9 as hydrochloride)"",""protein_binding"":""26"",""urinary_excretion_unchanged"":""55"",""volume_distribution"":""1.2"",""half_life"":""3–4 (8–13 for active metabolite) / Increased (32 for active metabolite)""},""metabolism_summary"":""After oral administration, there is rapid formation of a major equiactive metabolite, diacetolol, which possesses a similar pharmacological profile to acebutolol. Peak plasma concentrations of active material (i.e. acebutolol plus diacetolol) are achieved within 2–4 hours and the terminal plasma elimination half-life is around 8–10 hours. Because of biliary excretion and direct transfer across the gut wall from the systemic circulation to the gut lumen, more than 50% of an oral dose of acebutolol is recovered in the faeces with acebutolol and diacetolol in equal proportions; the rest of the dose is recovered in the urine, mainly as diacetolol."",""interaction_summary"":""Potentially hazardous interactions with other drugs • Anaesthetics: enhanced hypotensive effect. • Analgesics: NSAIDs antagonise hypotensive effect. • Anti-arrhythmics: increased risk of myocardial depression and bradycardia; increased risk of bradycardia, myocardial depression and A V block with amiodarone; increased risk of myocardial depression and bradycardia with flecainide. • Antidepressants: enhanced hypotensive effect with MAOIs. • Antihypertensives: enhanced hypotensive effect; increased risk of withdrawal hypertension with clonidine; increased risk of first dose hypotensive effect with post-synaptic alpha-blockers such as prazosin. • Antimalarials: increased risk of bradycardia with mefloquine. • Antipsychotics enhanced hypotensive effect with phenothiazines. • Calcium-channel blockers: increased risk of bradycardia and A V block with diltiazem; hypotension and heart failure possible with nifedipine and nisoldipine; asystole, severe hypotension and heart failure with verapamil. • Cytotoxics: possible increased risk of bradycardia with crizotinib. • Diuretics: enhanced hypotensive effect. • Fingolimod: possibly increased risk of bradycardia. A 8 Acebutolol • Moxisylyte: possible severe postural hypotension. • Sympathomimetics: severe hypertension with adrenaline and noradrenaline and possibly with dobutamine."",""administration_route"":"""",""other_renal_information"":""•"",""decision_tree_flags"":[""renal_dose_adjustment_or_restriction"",""dialysis_relevant"",""important_interactions_present"",""renal_caution_or_restriction""]}"
